correct_ans,images,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
up,images/santa_hog.jpeg,0,0,0,9,up,0.389789819717,2015_Jul_22_0956,60.172470436,visneuro,001,002,
left,images/gorilla_face.jpeg,0,1,1,0,left,0.146058082581,2015_Jul_22_0956,60.172470436,visneuro,001,002,
up,images/icecream_hog.jpeg,0,2,2,7,right,0.202321767807,2015_Jul_22_0956,60.172470436,visneuro,001,002,
right,images/rat_cat.jpeg,0,3,3,5,left,0.174534082413,2015_Jul_22_0956,60.172470436,visneuro,001,002,
right,images/cat_eyes.jpeg,0,4,4,3,up,0.180989027023,2015_Jul_22_0956,60.172470436,visneuro,001,002,
right,images/ear_muffs_cat.jpeg,0,5,5,4,right,0.212891101837,2015_Jul_22_0956,60.172470436,visneuro,001,002,
up,images/marshmallow_hog.jpeg,0,6,6,8,left,0.088828086853,2015_Jul_22_0956,60.172470436,visneuro,001,002,
left,images/gorilla_tongue.jpeg,0,7,7,2,right,0.228770971298,2015_Jul_22_0956,60.172470436,visneuro,001,002,
left,images/gorilla_fat.jpeg,0,8,8,1,up,0.220973968506,2015_Jul_22_0956,60.172470436,visneuro,001,002,
up,images/egg_hog.jpeg,0,9,9,6,left,0.221925973892,2015_Jul_22_0956,60.172470436,visneuro,001,002,
